,local_AA,local_CA,global_AA,global_CA,blosum_dist
0,4.875,3.694,6.087,5.445,-15.509775004326936
0,4.223,1.401,5.346,2.815,-6.0
0,3.610,1.848,5.299,3.067,-4.0
0,4.410,2.953,5.809,5.115,-20.67970000576925
0,2.089,1.209,4.111,2.659,-3.0
0,4.699,2.636,4.868,3.002,-12.0
0,7.722,5.441,12.373,11.020,-4.0
0,5.310,3.476,6.990,5.911,-6.0
0,5.333,3.311,6.451,5.380,-5.0
0,2.403,1.484,3.356,2.356,-4.0
0,2.357,1.033,2.820,1.489,-1.0
0,5.559,3.277,6.727,3.861,-2.0
0,3.312,1.734,3.964,2.682,-5.0
0,4.397,2.317,8.497,5.853,-6.339850002884625
0,3.619,2.226,6.008,5.653,-7.924812503605781
0,4.358,2.833,5.784,4.883,-18.0
0,2.513,1.500,2.686,1.771,-6.339850002884625
0,6.144,4.089,12.123,11.816,-15.0
0,4.961,4.106,5.643,5.779,-6.0
0,2.500,0.309,2.632,1.314,6.339850002884625
0,0.901,0.439,1.046,0.754,-4.754887502163469
0,7.478,6.259,11.853,11.120,-27.0
0,2.962,1.901,7.443,6.697,4.754887502163469
0,4.949,2.981,5.538,4.796,-12.0
0,5.463,3.299,7.039,5.556,-16.844129532345626
0,2.347,1.315,2.693,2.264,20.89735285398626
0,4.606,2.242,5.111,3.464,-2.0
0,1.933,0.467,2.229,1.404,5.169925001442312
0,4.932,3.419,5.507,5.411,-12.0
0,2.437,0.679,3.080,1.945,-15.849625007211563
0,6.032,3.687,7.839,6.651,-3.0
0,1.580,0.794,1.638,0.854,-7.924812503605781
0,4.626,2.824,6.442,4.512,-4.0
0,3.486,2.583,3.774,2.897,-19.651484454403228
0,3.085,1.912,6.092,5.011,-10.339850002884624
0,3.447,1.826,3.769,2.911,-3.0
0,4.848,3.032,6.202,4.638,-12.92481250360578
0,4.661,2.483,6.553,4.447,-6.339850002884625
0,3.091,1.418,5.125,4.697,-8.0
0,3.642,1.606,4.197,3.014,-4.0
0,0.861,0.219,1.002,0.682,11.094737505048094
0,2.584,1.158,3.735,2.143,-5.169925001442312
0,2.233,1.044,2.431,1.496,-2.0
0,4.807,3.356,6.678,6.958,-5.0
0,1.380,0.745,1.591,1.067,3.0
0,4.438,2.966,6.057,5.394,-20.67970000576925
0,1.340,0.323,1.410,0.538,7.0
0,3.747,2.224,8.013,6.623,-4.754887502163469
0,6.771,5.472,11.351,11.056,-18.094737505048094
0,4.130,2.239,4.306,2.814,7.924812503605781
0,1.180,0.452,1.266,0.559,-1.0
0,4.707,3.245,7.363,5.434,-5.0
0,1.287,0.307,1.362,0.458,7.0
0,4.871,2.856,5.167,3.442,-5.0
0,3.814,1.927,6.580,4.852,-14.03677461028802
0,4.039,2.142,4.660,3.038,-6.0
0,3.888,2.684,4.288,4.012,9.287712379549449
0,4.949,2.448,5.498,3.428,-4.0
0,4.909,2.192,5.752,4.452,6.0
0,3.191,1.793,4.043,3.128,-10.0
0,0.761,0.359,0.848,0.576,5.0
0,3.347,2.318,4.369,3.177,-3.1699250014423126
0,5.938,3.859,6.431,5.030,-12.67970000576925
0,5.660,4.245,9.182,9.208,-16.253496664211536
0,1.836,1.071,3.048,2.822,-6.0
0,4.719,3.203,5.647,4.626,-20.67970000576925
0,5.620,4.150,7.533,7.095,-6.0
0,7.104,4.882,14.356,13.445,-6.0
0,1.336,0.328,1.417,0.560,7.0
0,3.716,2.142,4.172,2.857,-3.1699250014423126
0,3.891,1.917,4.046,3.101,3.0
0,5.947,3.467,10.757,10.849,-16.253496664211536
0,4.727,2.783,6.069,4.530,-6.0
0,2.761,1.481,3.095,2.057,11.094737505048094
0,4.380,1.414,4.776,1.934,-6.339850002884625
0,8.368,6.489,11.582,9.605,-4.643856189774724
0,0.953,0.252,1.142,0.564,16.253496664211536
0,2.436,1.031,3.106,1.812,-10.339850002884624
0,5.610,2.554,9.094,7.836,-15.509775004326936
0,2.231,1.190,2.515,1.578,-6.339850002884625
0,3.577,2.272,3.894,2.728,-4.0
0,2.267,1.486,3.864,2.686,-2.0
0,3.080,1.814,4.705,3.357,-14.0
0,4.272,2.832,5.614,3.986,-12.92481250360578
0,5.219,4.045,5.513,4.801,5.614709844115208
0,1.469,1.469,2.783,2.762,-9.287712379549449
0,2.645,1.069,3.378,1.657,9.287712379549449
0,6.275,4.491,9.104,7.246,-11.60964047443681
0,2.956,2.199,3.427,3.150,-10.0
0,5.132,2.929,6.176,4.744,-7.754887502163468
0,2.802,1.461,3.138,2.036,11.094737505048094
0,7.442,5.886,13.632,12.693,-2.0
0,2.918,1.998,4.158,3.424,-9.509775004326938
0,0.335,0.120,0.436,0.314,20.756589711823786
0,3.589,1.790,6.596,5.976,-4.0
0,3.936,2.186,5.507,3.729,-9.287712379549449
0,2.746,1.522,3.105,2.234,-7.924812503605781
0,3.625,3.625,6.806,6.788,-13.931568569324174
0,1.219,0.382,2.859,2.501,-4.0
0,3.986,3.083,5.207,4.969,-4.0
0,5.251,2.319,6.267,5.040,-9.509775004326938
0,1.532,1.206,2.494,2.454,0.0
0,5.085,4.196,8.680,8.545,-12.92481250360578
0,2.528,1.383,4.187,2.792,-3.1699250014423126
0,4.125,2.324,4.666,3.173,-8.0
0,3.160,1.448,3.788,1.861,-3.0
0,2.144,1.059,3.975,3.031,-9.509775004326938
0,0.850,0.217,1.278,0.901,7.924812503605781
0,4.110,2.265,4.494,2.533,-4.0
0,1.552,0.546,1.727,0.775,-3.1699250014423126
0,1.777,1.150,2.615,1.958,2.0
0,4.322,2.945,6.779,5.206,-12.0
0,0.778,0.475,0.908,0.749,-11.229419688230417
0,4.411,3.312,10.046,8.720,-10.339850002884624
0,1.445,0.664,1.721,1.215,-3.1699250014423126
0,5.041,2.574,6.819,4.845,-21.50977500432694
0,3.024,0.768,5.373,3.299,3.0
0,4.943,3.376,9.146,8.704,-5.0
0,6.016,4.495,10.267,8.012,-21.0
0,4.949,3.225,5.580,4.095,-5.0
0,5.402,3.778,7.163,5.149,-10.0
0,3.666,2.512,5.435,3.480,9.509775004326938
0,2.885,2.592,3.434,3.230,-5.0
0,4.380,2.458,5.802,3.787,12.0
0,6.143,4.047,10.610,10.481,-4.0
0,4.095,2.140,4.591,2.710,-6.339850002884625
0,4.545,3.746,5.647,5.348,-15.509775004326936
0,7.145,5.025,13.947,13.047,-6.0
0,1.574,0.662,1.890,0.971,3.0
0,4.599,2.868,5.757,4.703,-7.924812503605781
0,5.604,3.555,7.637,5.843,-5.0
0,2.621,2.023,3.865,3.686,-18.0
0,3.874,1.983,4.156,2.332,-8.0
0,3.085,1.371,3.151,1.789,-6.339850002884625
0,5.078,2.824,8.933,6.241,0.0
0,3.987,2.417,4.842,3.333,-11.094737505048094
0,4.087,2.416,4.531,2.834,7.924812503605781
0,3.920,1.562,4.988,1.785,-1.0
0,4.194,2.668,5.575,3.902,-12.92481250360578
0,3.593,2.352,4.746,3.839,-9.509775004326938
0,4.466,2.268,5.726,4.120,-12.92481250360578
0,4.125,1.948,7.423,6.687,9.509775004326938
0,5.231,3.731,6.231,5.322,-3.0
0,1.991,1.126,3.263,2.694,-7.924812503605781
0,1.253,0.313,1.312,0.412,10.0
0,1.565,0.819,1.810,1.209,-1.0
0,1.312,0.667,1.334,0.800,-4.0
0,1.492,0.798,1.682,1.114,-2.0
0,2.064,1.751,2.527,2.353,2.0
0,3.339,2.126,3.541,2.587,-5.0
0,3.268,1.778,3.773,2.474,-4.754887502163469
0,5.604,3.241,8.066,4.807,-8.422064766172813
0,4.207,2.467,6.573,5.154,-7.924812503605781
