,local_AA,local_CA,global_AA,global_CA,blosum_dist
0,2.403,1.484,3.356,2.356,-10.0
0,2.357,1.033,2.820,1.489,-6.0
0,5.559,3.277,6.727,3.861,-3.1699250014423126
0,3.312,1.734,3.964,2.682,-33.60451250937503
0,4.397,2.317,8.497,5.853,-15.849625007211563
0,3.619,2.226,6.008,5.653,-11.0
0,4.358,2.833,5.784,4.883,-36.18947501009619
0,2.513,1.500,2.686,1.771,-14.264662506490406
0,6.144,4.089,12.123,11.816,-25.26619429851844
0,4.961,4.106,5.643,5.779,-16.0
0,2.500,0.309,2.632,1.314,1.5849625007211563
0,0.901,0.439,1.046,0.754,-11.094737505048094
0,7.478,6.259,11.853,11.120,-28.529325012980813
0,2.962,1.901,7.443,6.697,-9.509775004326938
0,4.949,2.981,5.538,4.796,-22.18947501009619
0,5.463,3.299,7.039,5.556,-19.019550008653876
0,2.347,1.315,2.693,2.264,10.0
0,4.606,2.242,5.111,3.464,-8.0
0,1.933,0.467,2.229,1.404,-2.807354922057604
0,4.932,3.419,5.507,5.411,-30.0
0,2.437,0.679,3.080,1.945,-31.699250014423125
0,6.032,3.687,7.839,6.651,-4.0
0,1.580,0.794,1.638,0.854,-14.264662506490406
0,4.626,2.824,6.442,4.512,-33.68825906469125
0,3.486,2.583,3.774,2.897,-36.49561398674886
0,3.085,1.912,6.092,5.011,-25.541209043760983
0,3.447,1.826,3.769,2.911,-6.0
0,4.848,3.032,6.202,4.638,-20.89735285398626
0,4.661,2.483,6.553,4.447,-18.575424759098897
0,3.091,1.418,5.125,4.697,-26.0
0,3.642,1.606,4.197,3.014,-7.0
0,0.861,0.219,1.002,0.682,9.509775004326938
0,2.584,1.158,3.735,2.143,-33.60451250937503
0,2.233,1.044,2.431,1.496,-4.0
0,4.807,3.356,6.678,6.958,-11.0
0,1.380,0.745,1.591,1.067,5.169925001442312
0,4.438,2.966,6.057,5.394,-14.0
0,1.340,0.323,1.410,0.538,4.0
0,3.747,2.224,8.013,6.623,-20.0
0,6.771,5.472,11.351,11.056,-39.43458750793272
0,4.130,2.239,4.306,2.814,0.0
0,1.180,0.452,1.266,0.559,-6.0
0,4.707,3.245,7.363,5.434,-20.60451250937503
